"query_start_ts","query_end_ts","query_id","query_text"
"2024-09-17 00:00:00","2024-09-17 00:00:59","system_prep_1_drop_ext","DROP TABLE IF EXISTS external_update_1r_100q;"
"2024-09-17 00:01:00","2024-09-17 00:01:59","system_prep_2_create_ext","CREATE EXTERNAL TABLE external_update_1r_100q (sourceip TEXT NOT NULL, destinationurl TEXT NOT NULL, visitdate PGDATE NOT NULL, adrevenue REAL NOT NULL, useragent TEXT NOT NULL, countrycode TEXT NOT NULL, languagecode TEXT NOT NULL, searchword TEXT NOT NULL, duration INTEGER NOT NULL) OBJECT_PATTERN = '*' TYPE = (PARQUET) URL = 's3://firebolt-benchmarks-requester-pays-{{region}}/firenewt/100gb/uservisits/' {{public_requester_pays_bucket_credentials}};"
"2024-09-17 00:02:00","2024-09-17 00:02:59","system_prep_3_drop","DROP TABLE IF EXISTS update_1r_100q;"
"2024-09-17 00:03:00","2024-09-17 00:03:59","system_prep_4_create","CREATE FACT TABLE update_1r_100q (sourceip TEXT NOT NULL, destinationurl TEXT NOT NULL, visitdate PGDATE NOT NULL, adrevenue REAL NOT NULL, useragent TEXT NOT NULL, countrycode TEXT NOT NULL, languagecode TEXT NOT NULL, searchword TEXT NOT NULL, duration INTEGER NOT NULL) PRIMARY INDEX visitdate, destinationurl, sourceip;"
"2024-09-17 00:04:00","2024-09-17 00:04:59","system_prep_5_ingest","INSERT INTO update_1r_100q SELECT * FROM external_update_1r_100q;"
"2024-09-17 00:05:00","2024-09-17 00:05:59","system_prep_6_vacuum","VACUUM update_1r_100q;"
"2024-09-17 00:06:00","2024-09-17 00:06:59","system_prep_7_checksum","SELECT checksum(*) FROM update_1r_100q;"
"2024-09-17 00:07:00","2024-09-17 00:07:59","update_1r_100q_1","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1992-09-13' AND destinationurl = 'utqnmglkwlvgwjsgaxfkycbnogthosu' AND sourceip = '15.77.7.131';"
"2024-09-17 00:08:00","2024-09-17 00:08:59","update_1r_100q_2","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1993-01-20' AND destinationurl = 'lionnlwrucwkya' AND sourceip = '237.210.70.147';"
"2024-09-17 00:09:00","2024-09-17 00:09:59","update_1r_100q_3","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1988-06-02' AND destinationurl = 'skrrbaptyoahmlupndkbenosbtundiiywrevvtumxdwuhywuaprlyefdgvtljemqdemenurwxcwhxdaha' AND sourceip = '8.222.162.202';"
"2024-09-17 00:10:00","2024-09-17 00:10:59","update_1r_100q_4","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1977-01-24' AND destinationurl = 'xiyehkldfbefqllpcboasqqydgwpibimcnxrodlctisvjuetfiaghicivwipnjrdxuiuixn' AND sourceip = '8.218.104.117';"
"2024-09-17 00:11:00","2024-09-17 00:11:59","update_1r_100q_5","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2004-09-18' AND destinationurl = 'ckhmtkvfufclpusyqgfsmjft' AND sourceip = '36.181.212.8';"
"2024-09-17 00:12:00","2024-09-17 00:12:59","update_1r_100q_6","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1976-11-20' AND destinationurl = 'chsrxkviftqqidmeobfhculipwjdsg' AND sourceip = '97.8.204.143';"
"2024-09-17 00:13:00","2024-09-17 00:13:59","update_1r_100q_7","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1996-03-07' AND destinationurl = 'guqovgoshhphmbgrggaaxddjrqeqmrmcgfxfajxxctrvjesoxn' AND sourceip = '70.1.93.173';"
"2024-09-17 00:14:00","2024-09-17 00:14:59","update_1r_100q_8","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2005-03-23' AND destinationurl = 'pmpbklxnqwxkifcbnmlcecwdsmyinqaaexsdpjytowipx' AND sourceip = '24.183.51.204';"
"2024-09-17 00:15:00","2024-09-17 00:15:59","update_1r_100q_9","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2004-08-18' AND destinationurl = 'mohpmsbydm' AND sourceip = '182.144.211.196';"
"2024-09-17 00:16:00","2024-09-17 00:16:59","update_1r_100q_10","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2010-12-08' AND destinationurl = 'afhumysylwdaeteumdtdqmhycjapsqyehjtogfnwlbjnlqroadhd' AND sourceip = '113.18.74.253';"
"2024-09-17 00:17:00","2024-09-17 00:17:59","update_1r_100q_11","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2004-05-09' AND destinationurl = 'eyphmcvipeejdqbyxmgcmwbebmvrxwhvr' AND sourceip = '68.158.24.146';"
"2024-09-17 00:18:00","2024-09-17 00:18:59","update_1r_100q_12","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2011-03-27' AND destinationurl = 'mcufueifli' AND sourceip = '65.138.122.122';"
"2024-09-17 00:19:00","2024-09-17 00:19:59","update_1r_100q_13","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1985-07-09' AND destinationurl = 'pmaqgrfiirqsbqvtisdwhtrwxdxooy' AND sourceip = '254.150.124.63';"
"2024-09-17 00:20:00","2024-09-17 00:20:59","update_1r_100q_14","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '1993-06-21' AND destinationurl = 'rsqsyiyarshvswksbenoxngdfrkvhelkdfteaexesmovcfeutsvdt' AND sourceip = '73.103.216.37';"
"2024-09-17 00:21:00","2024-09-17 00:21:59","update_1r_100q_15","UPDATE update_1r_100q SET
  sourceip = REGEXP_REPLACE(sourceip, '.[0-9]*$','.999'),
  destinationurl = CONCAT(destinationurl, '_'),
  visitdate = visitdate + 1,
  adrevenue = adrevenue + 1,
  useragent = CONCAT(useragent, '_'),
  countrycode = CONCAT(countrycode, '_'),
  languagecode = CONCAT(languagecode, '_'),
  searchword = CONCAT(searchword, '_'),
  duration = duration + 1
WHERE visitdate = '2008-12-15' AND destinationurl = 'qnvapemdpyokm' AND sourceip = '245.202.123.96';"
