"sourceip","destinationurl","visitdate","adrevenue","useragent","countrycode","languagecode","searchword","duration"
"164.75.38.18","yqkdtbdkiyuursgamnuhuwnjhsfvhkfyfcojyanjhaovmwnidnqtcjinvvgkbbj","2012-05-01",0.6038051,"Hppkhvbdidnpcuqyabppchl/1.1","IND","IND-EN","pfkd",9
"233.22.95.35","rapuidkuxjglxynjyxihemfkyjfxdqtqjbnsqjlvswckldxtcpgjaomkxhlskf","2012-05-01",0.93128157,"Netscape 4.8 ( Win XP): Mozilla/4.8 (Windows NT 5.1; U)","NOR","NOR-NO","haxkvqfkittsf",2
"203.63.164.3","nuowsxeiuuwtgihrjrfabvksqvavcffknjeekdxekdoxtxredgdlruuoninoht","2012-04-30",0.35361293,"Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)","THA","THA-TH","jxhh",9
"142.90.37.150","sycdqysfpdbnqkucgkmxpjwhdsivbqoadexewlpjgictykxiyengmsghlhkaiehouuuudtkwoigyihrjfrdwgrl","2012-04-30",0.002380709,"Opera 7.5 (Win XP): Opera/7.50 (Windows XP; U)","CHL","CHL-ES","hkvjxuimde",6
"114.94.157.250","hmaeucbvymnidlbsrywphwsesndsbqnsfxujak","2012-04-30",0.9536318,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","LBY","LBY-AR","ito",6
"77.156.45.181","wkkplepafpddafxkdkvrrogarsawclydtlhkqvwurkvyusgr","2012-04-30",0.6552757,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","BLR","BLR-BE","egtnudgvjuoi",10
"32.121.117.242","nunxpyhhtprxagutlehfdohikretwtfywwhscuwcrveees","2012-04-30",0.42394078,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","NOR","NOR-NO","svhqyyfrukylcugp",4
"142.179.116.121","qjhuyjmbqjgqvcrl","2012-04-30",0.69688094,"Mozilla/5.0 (Windows; U; Windows NT 5.1)Gecko/20070803 Firefox/1.5.0.12","QAT","QAT-AR","egobtwcsa",4
"207.60.169.169","nunqfdrbuekrxynahbiuisswecchxjbxnschhmjntjxmoguovvmhbsvrv","2012-04-30",0.26625288,"Bsyurlbmmewqdxbwueuirl/7.2","MNE","MNE-SR","fexhopfbik",4
"229.16.216.247","qjhwinxddtnsu","2012-04-30",0.7767415,"Bomebskmgiqrugxrcev/3.5","LVA","LVA-LV","ifrmsmr",2
"225.234.85.83","nunhkwbfjudejvytjikcq","2012-04-30",0.14593773,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","ECU","ECU-ES","pnowghdqbr",9
"73.146.42.55","nusejfetkdyjaetffbxocrxlvvdpeuwyaqsxgijepysxjlmagaqcjogmmiafqmmfwsuxkrlueehottmgicryek","2012-04-30",0.001814235,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","IND","IND-EN","smohebons",1
"117.37.30.89","numkibdulaqvjii","2012-04-30",0.9958536,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","AUS","AUS-EN","vqkyjdqqnawflxjb",8
"162.83.254.232","nutdcbniylqrgpreliyshlvlxjqfhbudmawnskfdqpureggionfib","2012-04-30",0.114209704,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","BEL","BEL-NL","vulvo",2
"160.90.130.207","numdhdbrdnhsecgqcgdjeosaebptsafomlhhnjswocv","2012-04-30",0.013418118,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","SDN","SDN-AR","tihpao",9
"159.79.25.64","nuufbmttghwgaxrybxkecsatau","2012-04-30",0.36495596,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","SVN","SVN-SL","gnlsrfdjnjhdoe",5
"214.36.23.180","nulyqamtbqfqvyoshlenaafmsuoqxwymrhcjiefatccyjfiptilnkdrxge","2012-04-30",0.22667597,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","NOR","NOR-NO","wcnh",8
"71.119.155.148","nuvbsxvmvqmosdgqarjkorldnexkipkuysoplgbvcdjfgqosrvarrnvruecvccojimqcmhuflknngdqvp","2012-04-30",0.95032036,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","MYS","MYS-MS","gwusiqucnpgeih",9
"199.41.150.148","nuluhhgqwdnqtrjoehtcwhdebwuoqoivisvvtmltipdtwhkmcmlgvorvfmmaxanfhrablxylvglwyafbqpd","2012-04-30",0.5483462,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/525.13 (KHTML like Gecko) Version/3.1Safari/525.13","IRL","IRL-EN","jwfc",9
"227.142.61.196","nuwolpejxbwoouwqmhakmoqhrd","2012-04-30",0.67193115,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","MAR","MAR-AR","glogeyqucrnf",5
"141.95.111.122","nukvcuowyuksuxfawpaxsebcisbdpvxsjfioeugmoiishxhdskodtyswfgjqvwkst","2012-04-30",0.16855527,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","SGP","SGP-EN","hqobdpo",8
"48.35.55.8","nuwtwlcljdyblsimesxplsytnttcjvvmsyujilxsbpbonytl","2012-04-30",0.4584627,"Sojrnbxg/6.0","SVK","SVK-SK","ldi",5
"47.159.197.138","nukmtppmfcamxqnviersevpycmniwvioncxkxheaxehktbm","2012-04-30",0.15361252,"Netscape 4.8 (Windows Vista): Mozilla/4.8 (Windows NT 6.0; U)","BLR","BLR-BE","xtnlphewcqlh",5
"224.68.2.224","nuxjkmipwphtvudqqueyifwlnuxjtjfcdaghndtpoagrgrmcyvcnvbl","2012-04-30",0.38908663,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","SVK","SVK-SK","sid",2
"37.16.22.187","nujdwyfdqltfayiocunxnsisdywgmggilxlagfyeappshnhmfmfrymyaugsosydqxbevtfhcictkenklk","2012-04-30",0.03256816,"Mrmmsau/3.8","DOM","DOM-ES","fybws",8
"192.37.23.232","nuxxtqieimttapnljkr","2012-04-30",0.7765101,"Wtyswecpktklamxukybjcu/3.7","ZAF","ZAF-EN","rfcnafgcyxop",4
"8.170.198.177","nuiwqcsksopibmtxxanvkmmag","2012-04-30",0.877452,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","CRI","CRI-ES","ngacqsa",5
"87.142.4.64","nvacbywangohiwagtsxkccqqdjhtahwxefcecxukiqgvynypnxbxhwhfwwabiljowfr","2012-04-30",0.47248113,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","SYR","SYR-AR","kakfyyok",6
"161.7.161.78","nuitffqqighuqppiujjbmrwyglarurwwbkglirvvktbknlwxon","2012-04-30",0.04092438,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","AUS","AUS-EN","dprspk",10
"198.54.231.66","nvbydxnydbomnmbnaldremqebxhoypith","2012-04-30",0.20121567,"Vamvsk/8.8","MYS","MYS-MS","slfhrlnijxjxsv",8
"149.100.133.99","nuiaoiaeehfcivrscfacofdxi","2012-04-30",0.64085895,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","BEL","BEL-NL","xcgimgy",1
"71.26.67.195","nvdtlldigaofkqsbccrfuwuhgskuhttwpayfcnmgevcqbexqqcx","2012-04-30",0.039560735,"Nmnboubnnwa/8.6","HND","HND-ES","chiwglormmfxnqw",6
"73.60.131.105","nuhitvtgdoaxrvfbeyvqiaxemlivjhqfjdldqggltbwxaagpvjgtcxvlrfaqdycqgucqpraiiylfvjuxd","2012-04-30",0.7733406,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","IRQ","IRQ-AR","eq",8
"97.112.23.104","nveuyyketpdijmcqtoxkpoj","2012-04-30",0.005976513,"Wpwwryvbwlqv/5.6","GRC","GRC-DE","ntx",10
"238.248.215.181","nuguulmpfuevdogvwoixsbpbcdcmhswlkcegumrrjydavbvqljikefosumdnhdqjjlr","2012-04-30",0.44653147,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","BIH","BIH-SR","ohcpmyloebd",9
"7.25.134.124","nvftsnmucigphieaebeushbcqpesixtajolsrwehjtpyqnrle","2012-04-30",0.7233124,"Ukvctapd/6.5","SRB","SRB-SR","biygsihbhvpffhy",3
"152.165.96.69","nugjcgmjesevwhwmblkjoixvcsdyidlonyviigrfuqxfbrxbkkbndlnas","2012-04-30",0.2686273,"Mozilla/5.0 (Windows; U; Windows NT 5.1)Gecko/20070309 Firefox/2.0.0.3","NOR","NOR-NO","bkvjhutbhypqfue",1
"136.60.165.160","nvhnrsypdoqotqucqjvwsjfnshqipcndinjlsleasepydfknfihjuxfxvreibprxllgsuvrflcwl","2012-04-30",0.49777544,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","HRV","HRV-HR","cwybkvjkvhi",7
"173.3.118.142","nugiccgisxsxabpgfjwoslwglleyjpvshwqfyeqahoh","2012-04-30",0.54391736,"Hhdsybrtibtuoprkjf/0.6","BIH","BIH-SR","qbvbnpxcwtafjtvq",2
"32.33.172.61","nvicnprgjuvjqeihaitnblosvwldsqwrgrccmskcnoycpbxoggsvsebwyf","2012-04-30",0.93572897,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","PER","PER-ES","ejluofterg",5
"134.67.72.163","nufqgcumyawngwhyxdtqnaesbhteqqedxlf","2012-04-30",0.75069535,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","GBR","GBR-EN","ueygukwlpelrkjp",9
"31.49.119.179","nviiybiwcydnjwkvicmoiacxghoddwnxcptijnstvwelgjggwuopeuhodbxpekpmlngekbxkgdwru","2012-04-30",0.38524586,"Lroqgfqayxjfonlufpuyw/1.","UKR","UKR-UK","tch",9
"134.167.86.22","nuepetdfttyicacjqye","2012-04-30",0.55274683,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","CAN","CAN-FR","pflypedloiiw",1
"253.33.234.57","nvjrnsolraimd","2012-04-30",0.52828103,"Netscape 4.8 ( Win XP): Mozilla/4.8 (Windows NT 5.1; U)","LVA","LVA-LV","rubncmobeyf",8
"251.5.96.212","nuenscoas","2012-04-30",0.7230609,"Rdcukq/1.2","LTU","LTU-LT","fofraa",3
"46.19.206.98","nvlqgibhntvlj","2012-04-30",0.79376644,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","MKD","MKD-MK","jadefqjiljjo",1
"214.239.70.8","nudtijkjxffiwcoercswdmchkkcjsrxqsfyqbxxblbacaqqqfcoviudgdyrkbrugjlgjqddoups","2012-04-30",0.16655114,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","AUS","AUS-EN","ghyxcyqcanhrkua",9
"118.135.39.37","nvlvrtfnrxcooolygxkwfiffedpseafllcdvqlpxhdgaltevffepgn","2012-04-30",0.4696986,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","CHE","CHE-IT","oqwrcgb",6
"132.128.221.11","nudbqbxjkotaftkeaqnwdmeyvymkptrfmsvuskbeervxrotiyrfxwuqhllvcsaqkilgvtibajaan","2012-04-30",0.051599994,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","URY","URY-ES","sdlvnpdhbnbkuwvx",6
"117.248.193.191","nvouabcbldxfuhjbhuoiubf","2012-04-30",0.8336589,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","MNE","MNE-SR","bkxgewx",4
"246.80.10.154","nucswruaoklboyoxpvugfrjwqybkuhljmbqngyokepifarnnnpkcyyafriscpqngfcllykwt","2012-04-30",0.97469765,"Qsrsrd/5.8","DEU","DEU-DE","fqf",2
"6.160.236.141","nvpbaatrcohclravofquvnnw","2012-04-30",0.56213146,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","SRB","SRB-SR","wqaynrddbmxuxyicv",10
"197.23.225.10","nucrtagdkgviwg","2012-04-30",0.06838804,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","CRI","CRI-ES","fcffruckkxrtxy",3
"123.55.62.73","nvshdefsylbjsypxhurveusuccqqnsajxmpjstnnfrtbqm","2012-04-30",0.045040596,"Opera/8.0 (Macintosh; PPC Mac OS X; U; en)","BIH","BIH-SR","nvmqytmiassv",2
"130.177.29.18","nucqycgat","2012-04-30",0.78692114,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","HRV","HRV-HR","yibmjwcjkvsqq",7
"101.105.247.138","nvsiegdwjipiysxgbvghkgvqleejdtnbfaiaryepnoepvkukretthhqiihredbqjegbxcfoppmrsflndhth","2012-04-30",0.24989113,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","BRA","BRA-PT","jrgaxfck",3
"3.2.128.87","nucmvblrgeathijvtujkpakubpqxtvfhmqiopkvuwwouhoipurjrxphnkda","2012-04-30",0.7779746,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","BEL","BEL-NL","ejdsler",7
"176.174.141.90","nvsyjwgwygwjrqebwrvihercxqjdwqrfrfmmdnxegaxmpaorlew","2012-04-30",0.020422768,"Vuiauymhnsj/4.8","ISR","ISR-IW","wcnh",1
"202.163.6.27","nucefinqqhmvswgwmxoklbdoyyefsinxlwekl","2012-04-30",0.9291975,"Fshderpgt/5.3","PER","PER-ES","scb",8
"126.167.164.216","nvtjshywmjvynavjlceaxajvngkopnjjvsyvouxc","2012-04-30",0.72765654,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","COL","COL-ES","krdugjfkyjf",8
"154.26.116.192","nuasbbfboyjpitcuvfmjwbdosojmrtbkdudwghfrdydrbhyemarqvougbyoyw","2012-04-30",0.6099825,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","SRB","SRB-SR","ppqukpllye",10
"126.169.152.183","nvtumwklootgtxtdefnwbwpvffee","2012-04-30",0.3637375,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","KWT","KWT-AR","wcnh",4
"59.211.150.91","ntxlwpdvhojoqtgktahlbmlqsjyjvitiqhhhbcsxhvyccqjsdodyhegfdui","2012-04-30",0.13974886,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","UKR","UKR-UK","rubncmobeyf",9
"43.230.8.166","nvupbylcjloeawnabiwqiujftnaoww","2012-04-30",0.5123468,"Rdcukq/1.2","LUX","LUX-DE","fofraa",2
"132.60.10.34","ntwdddgtjkhxohkvnwcwerxgbtcyecpipagqfuwjcfwvykcpoy","2012-04-30",0.3944774,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","CAN","CAN-EN","oah",7
"131.200.180.200","nvvktfkhogopggiaivexryjdrdfsqbwkunnoa","2012-04-30",0.99421066,"Ixsnylusme/6.","MKD","MKD-MK","pduaopgwmjdpmbwb",9
"38.106.98.65","ntvsnaudtaqyobjavtvtyjqgdjqrnakkwwjgtjkeemxfkaxbsdsushuwgyrfobjbrgaiwteaw","2012-04-30",0.4539792,"Mozilla/5.0 (Windows; U; Windows NT 5.2)AppleWebKit/525.13 (KHTML like Gecko) Version/3.1Safari/525.13","TUR","TUR-TR","tsgtv",10
"51.71.251.250","nwapdhycqcebkqehqjwjfurrpjvwgwxki","2012-04-30",0.9102732,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","IDN","IDN-IN","yxuqewosttexb",9
"73.36.27.135","ntviwckjvsiekgpewxjmenbowshwexsiyrygrakkwncnbfsghnhbnvjxaivfjqivhsotlpturtyelqsdn","2012-04-30",0.68178976,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","HKG","HKG-ZH","spqxdsg",3
"89.148.134.89","nwarpoggyxpmpqmqfaxvytpkxxmenkakhtseqvcrpqxrolvwfhibqhuvm","2012-04-30",0.9012378,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","NOR","NOR-NO","ugwuaiujvoyqavp",7
"3.71.145.184","ntufeqjinbciskabvyfyuvyksshstpylhfkrnxxwipl","2012-04-30",0.9657603,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","CHE","CHE-FR","gfsssjlercl",2
"195.213.116.192","nwdbhgjswcyyfggaklyhpatjijcbqmubf","2012-04-30",0.6532857,"Fslqhyqnvk/6.2","PHL","PHL-EN","pmoxallaespch",5
"245.240.202.130","ntrvhdwblpbkrvfkbogkfffmvexgnnskqqltlurhnrdqpwvioxubjdhwdsmjqxdvqmijwprviiaimvom","2012-04-30",0.5995933,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)","ARG","ARG-ES","jjnfthafwwk",4
"187.224.89.46","nwdkkcpgaivbxgmlohrherheobitduykyicqgtjnxtnglilfmgejnwahmnekmfnpogwritjwbpvlpstepempkwxm","2012-04-30",0.8478814,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","CHE","CHE-IT","wrxdqlyyqvhghesq",2
"36.173.163.172","ntpwpntdgucdpskpjlnoctlspxjedunjooansvvpjfvlwovbctrxluuaccvhjb","2012-04-30",0.7574617,"Mozilla/5.0 (Macintosh; PPC Mac OS X; U; en)Opera 8.0","NLD","NLD-NL","uygjsymbv",3
"188.159.51.101","nwelhjqvtone","2012-04-30",0.27758384,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/xxx","MYS","MYS-MS","uekephmm",5
"114.167.19.123","ntlupygecdogbkdjtycocaxlintvaestrideshailaypynyieeliniukcitoajrwjodspcafk","2012-04-30",0.29802755,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","ECU","ECU-ES","kpnyiguefoiqx",2
"164.151.33.2","nwfaquhtjhprngbutqklruddlkfbqw","2012-04-30",0.9057455,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0)","IND","IND-HI","ugv",9
"131.254.53.56","ntlswxbtykrlsenyulbhbocqvhbjenonlktqqgmoiyosncpqhytgqr","2012-04-30",0.18677793,"Dyhoiswt/6.2","USA","USA-ES","bxko",7
"213.126.7.89","nwgdpefefyfnahmqhak","2012-04-30",0.24572036,"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1)","SRB","SRB-SR","wholfdllnnjlso",7
"211.160.51.30","ntkmftyraroxdrmnfjsrmtlcfbvixawphuivgpuhrpbndxrgqfd","2012-04-30",0.2936391,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","KOR","KOR-KO","dwobv",8
"232.205.123.241","nwikpdtyyfjirucmrjwnubvisvwwbhrjoq","2012-04-30",0.4694098,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","DNK","DNK-DA","ruqlaqjdxkrvv",1
"136.245.64.140","ntkbifoiawigdxgkyboseebxcyhucltfmiqwixcgdbtlwlw","2012-04-30",0.9563325,"Kmtjvv/7.7","GBR","GBR-EN","ekpihmckcnt",5
"178.252.168.50","nwkbxgmwlifswexfvvwyaaa","2012-04-30",0.74514186,"Dxborqxdbr/7.0","LBY","LBY-AR","rkgmw",2
"170.82.13.120","nthqapnqmtbplleqxlrriflwpotilconyyxyuc","2012-04-30",0.43907705,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","IRQ","IRQ-AR","maajahxn",4
"165.243.191.252","nwlrftyqkqhgkwyywmitctjkolmwnwmxaqbaloyjsvwpodxfeafke","2012-04-30",0.10993085,"Eakggtiglkqoswdbop/.7","MAR","MAR-AR","brmmlkqthq",2
"231.108.105.197","ntfjvrbfewvixghyauyytdoivvvntguxwqcxdxaxndlgdrqkwajxknic","2012-04-30",0.07623291,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","ROU","ROU-RO","uiqkrjmvasbgxe",2
"217.60.221.128","nwmxxbymclqfjucgbtdlywwgtsunmghtkjqgqjr","2012-04-30",0.5557164,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","BEL","BEL-NL","leqojhtcfppii",6
"85.131.9.210","ntfjkkpkuryhsckwvbldjqrjkgeceymeswaanxyycujeyacleqtutxlpsjhibskkopnlpcurkr","2012-04-30",0.28507215,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/525.13 (KHTML like Gecko) Chrome/0.2.149.27 Safari/525.13","URY","URY-ES","lwxoybomnmjrwg",7
"251.84.174.241","nwngekcchhjb","2012-04-30",0.4203849,"iPhone 3.0: Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML like Gecko) Version/4.0 Mobile/7A341 Safari/528.16","MAR","MAR-AR","ljqibwsyx",6
"199.128.205.170","nsxiymemedaodwtsctafospr","2012-04-30",0.8787783,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","SGP","SGP-ZH","xovqgylgqjuirii",2
"125.144.203.163","nwnlybedyswytaieowtuqsnbqdyafvujagbtcydqgmelavfqmmdxtfkkstujujhccceeswja","2012-04-30",0.8880383,"Fshderpgt/5.3","PER","PER-ES","scb",5
"143.31.238.251","nsvilucdrpuekhwbwqwylvajkevwrdldthohpxlgffxv","2012-04-30",0.929279,"Tlpmxrfjs/3.0","CHE","CHE-FR","lagg",8
"40.222.243.183","nwojxgyoacrjqhnbxgxffylumvshpykpooctpmgbxtdemeaheeyokefbqntfpudytgblgtue","2012-04-30",0.5514245,"Mozilla/5.0 (iPhone; U; CPU like Mac OS X)AppleWebKit/420.1 (KHTML like Gecko) Version/3.0 Mobile/4A93Safari/419.3","ROU","ROU-RO","ewieqih",4
"20.151.216.254","nsuerpvpxfvvijpwonetsmgmnrdpfrixcrpgquqrlpqchiunywomqrmcfpbhesrojdkmaoqcwqpchfgcqohahd","2012-04-30",0.98498684,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)","CRI","CRI-ES","rxw",6
"225.168.3.34","nwpgyswnxfwvlluvugdsdgggpfapqjmbtvvhhylhnwjslxldyoikffjraaoeayattpccodwaputfmkapmoxoev","2012-04-30",0.5937272,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","JPN","JPN-JA","gcmrvywsquqeq",10
"205.226.230.165","nsuenebajkjgwbsiqskqnxsbkfpdajnmeynvvumhwqqqgsgfirwdrsliqtphbs","2012-04-30",0.058889374,"Jiuldspsrg/0.6","IRL","IRL-GA","ohbpgxprue",7
"253.165.80.57","nwpqqjcdagoukisowprirtlyvhiqgxrmqusqgasjjjvutkfojmivuj","2012-04-30",0.3837118,"Mozilla/5.0 (Windows; U; Windows NT 5.1)Gecko/20070803 Firefox/1.5.0.12","SVK","SVK-SK","ypmq",10
"200.70.35.109","nstwjekimbalrekhqddlwdphtwjhhhnusfhuiervwdcnv","2012-04-30",0.6625424,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","CHL","CHL-ES","qh",5
"40.195.82.110","nwqpondqysolsocktwhcfxoutghylyniqxplcebgmwqhrtjjvjrrasjggqojspthneltging","2012-04-30",0.6303647,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)","FRA","FRA-FR","abuo",5
"127.87.9.117","nstnbgcwnxjqsmkejpgcjtggjiqe","2012-04-30",0.90708995,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)","IRL","IRL-EN","nnnyadujfldl",8
"64.122.125.123","nwtougcynbxbelhpffifolmsnnfttnixyorkbafbfcbjlogpkxmjegwvjphqgyoheposd","2012-04-30",0.88221216,"Ngffechyyihonqlyairbubcde/3.4","EGY","EGY-AR","yoeyhbiifirbybhc",6
"163.23.70.195","nssglecchflrrtnhwrptdeavoaiowwvlqipuessykfksfhbjcfflxosuaeioudjmsvmtnafl","2012-04-30",0.86949456,"Gyickodqppffpqd/2.","NLD","NLD-NL","vswcdsnr",7
"240.137.54.195","nwvdchhcjmdlelakdppj","2012-04-30",0.5444864,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)","OMN","OMN-AR","kqasnoc",6
